role,cancer_id,cancer_normalized,gene_hugo_id,gene_entrez_id,gene_normalized,citation_count
Oncogene,DOID:9119,acute myeloid leukemia,HGNC:76,25,ABL1,17
Oncogene,DOID:2531,hematologic cancer,HGNC:76,25,ABL1,17
Oncogene,DOID:1612,breast cancer,HGNC:76,25,ABL1,17
Oncogene,DOID:9253,gastrointestinal stromal tumor,HGNC:76,25,ABL1,12
Oncogene,DOID:8692,myeloid leukemia,HGNC:76,25,ABL1,10
Oncogene,DOID:1909,melanoma,HGNC:76,25,ABL1,10
Oncogene,DOID:8584,Burkitt lymphoma,HGNC:76,25,ABL1,7
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:76,25,ABL1,7
Oncogene,DOID:0080638,B-cell acute lymphoblastic leukemia,HGNC:76,25,ABL1,7
Oncogene,DOID:0060058,lymphoma,HGNC:76,25,ABL1,7
Driver,DOID:9952,acute lymphoblastic leukemia,HGNC:76,25,ABL1,7
Driver,DOID:2226,myeloproliferative neoplasm,HGNC:76,25,ABL1,7
Oncogene,DOID:5604,adult acute lymphocytic leukemia,HGNC:76,25,ABL1,5
Oncogene,DOID:1324,lung cancer,HGNC:76,25,ABL1,5
Oncogene,DOID:12603,acute leukemia,HGNC:76,25,ABL1,4
Oncogene,DOID:1040,chronic lymphocytic leukemia,HGNC:76,25,ABL1,4
Oncogene,DOID:1037,lymphoid leukemia,HGNC:76,25,ABL1,4
Oncogene,DOID:0060318,acute promyelocytic leukemia,HGNC:76,25,ABL1,4
Driver,DOID:9119,acute myeloid leukemia,HGNC:76,25,ABL1,4
Driver,DOID:1040,chronic lymphocytic leukemia,HGNC:76,25,ABL1,4
Oncogene,DOID:707,B-cell lymphoma,HGNC:76,25,ABL1,3
Oncogene,DOID:5603,T-cell acute lymphoblastic leukemia,HGNC:76,25,ABL1,3
Oncogene,DOID:10283,prostate cancer,HGNC:76,25,ABL1,3
Oncogene,DOID:0080147,lymphoblastic lymphoma,HGNC:76,25,ABL1,3
Oncogene,DOID:768,retinoblastoma,HGNC:76,25,ABL1,2
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:76,25,ABL1,2
Oncogene,DOID:3721,plasmacytoma,HGNC:76,25,ABL1,2
Oncogene,DOID:3275,thymoma,HGNC:76,25,ABL1,2
Oncogene,DOID:3068,glioblastoma,HGNC:76,25,ABL1,2
Oncogene,DOID:219,colon cancer,HGNC:76,25,ABL1,2
Oncogene,DOID:1793,pancreatic cancer,HGNC:76,25,ABL1,2
Oncogene,DOID:0060060,non-Hodgkin lymphoma,HGNC:76,25,ABL1,2
Driver,DOID:5603,T-cell acute lymphoblastic leukemia,HGNC:76,25,ABL1,2
Driver,DOID:2531,hematologic cancer,HGNC:76,25,ABL1,2
Driver,DOID:1909,melanoma,HGNC:76,25,ABL1,2
Driver,DOID:1612,breast cancer,HGNC:76,25,ABL1,2
Tumor_Suppressor,DOID:9253,gastrointestinal stromal tumor,HGNC:76,25,ABL1,1
Tumor_Suppressor,DOID:768,retinoblastoma,HGNC:76,25,ABL1,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:76,25,ABL1,1
Tumor_Suppressor,DOID:0060548,luminal breast carcinoma A,HGNC:76,25,ABL1,1
Oncogene,DOID:9538,multiple myeloma,HGNC:76,25,ABL1,1
Oncogene,DOID:8997,polycythemia vera,HGNC:76,25,ABL1,1
Oncogene,DOID:8761,acute megakaryocytic leukemia,HGNC:76,25,ABL1,1
Oncogene,DOID:5520,head and neck squamous cell carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:5517,stomach carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:4971,myelofibrosis,HGNC:76,25,ABL1,1
Oncogene,DOID:3969,thyroid gland papillary carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:3459,breast carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:3369,Ewing sarcoma,HGNC:76,25,ABL1,1
Oncogene,DOID:3308,embryonal carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:3119,gastrointestinal system cancer,HGNC:76,25,ABL1,1
Oncogene,DOID:2893,cervix carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:2871,endometrial carcinoma,HGNC:76,25,ABL1,1
Oncogene,DOID:2394,ovarian cancer,HGNC:76,25,ABL1,1
Oncogene,DOID:2224,essential thrombocythemia,HGNC:76,25,ABL1,1
Oncogene,DOID:11054,urinary bladder cancer,HGNC:76,25,ABL1,1
Oncogene,DOID:1036,chronic leukemia,HGNC:76,25,ABL1,1
Oncogene,DOID:10146,thymus lymphoma,HGNC:76,25,ABL1,1
Oncogene,DOID:0080367,chronic eosinophilic leukemia,HGNC:76,25,ABL1,1
Oncogene,DOID:0080188,chronic myelomonocytic leukemia,HGNC:76,25,ABL1,1
Oncogene,DOID:0070004,myeloid neoplasm,HGNC:76,25,ABL1,1
Oncogene,DOID:0060597,atypical chronic myeloid leukemia,HGNC:76,25,ABL1,1
Oncogene,DOID:0060592,B-cell adult acute lymphocytic leukemia,HGNC:76,25,ABL1,1
Oncogene,DOID:0060548,luminal breast carcinoma A,HGNC:76,25,ABL1,1
Oncogene,DOID:0060061,cutaneous T cell lymphoma,HGNC:76,25,ABL1,1
Oncogene,DOID:0050908,myelodysplastic syndrome,HGNC:76,25,ABL1,1
Oncogene,DOID:0050523,adult T-cell leukemia,HGNC:76,25,ABL1,1
Driver,DOID:9253,gastrointestinal stromal tumor,HGNC:76,25,ABL1,1
Driver,DOID:8692,myeloid leukemia,HGNC:76,25,ABL1,1
Driver,DOID:707,B-cell lymphoma,HGNC:76,25,ABL1,1
Driver,DOID:3908,lung non-small cell carcinoma,HGNC:76,25,ABL1,1
Driver,DOID:1324,lung cancer,HGNC:76,25,ABL1,1
Driver,DOID:12603,acute leukemia,HGNC:76,25,ABL1,1
Driver,DOID:1037,lymphoid leukemia,HGNC:76,25,ABL1,1
Driver,DOID:10283,prostate cancer,HGNC:76,25,ABL1,1
Driver,DOID:0070004,myeloid neoplasm,HGNC:76,25,ABL1,1
Oncogene,DOID:1612,breast cancer,HGNC:77,27,ABL2,2
Oncogene,DOID:1324,lung cancer,HGNC:77,27,ABL2,1
Oncogene,DOID:10283,prostate cancer,HGNC:77,27,ABL2,1
Tumor_Suppressor,DOID:1909,melanoma,HGNC:78,3983,ABLIM1,1
Tumor_Suppressor,DOID:9119,acute myeloid leukemia,HGNC:81,29,ABR,1
Tumor_Suppressor,DOID:8552,chronic myeloid leukemia,HGNC:81,29,ABR,1
Tumor_Suppressor,DOID:3070,malignant glioma,HGNC:81,29,ABR,1
Tumor_Suppressor,DOID:0050902,medulloblastoma,HGNC:81,29,ABR,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:25829,84142,ABRAXAS1,1
Tumor_Suppressor,DOID:1319,brain cancer,HGNC:84,31,ACACA,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:84,31,ACACA,1
Oncogene,DOID:3275,thymoma,HGNC:84,31,ACACA,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:88,33,ACADL,1
Oncogene,DOID:1612,breast cancer,HGNC:89,34,ACADM,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:13557,59272,ACE2,1
Tumor_Suppressor,DOID:684,hepatocellular carcinoma,HGNC:108,43,ACHE,1
Tumor_Suppressor,DOID:3908,lung non-small cell carcinoma,HGNC:108,43,ACHE,1
Oncogene,DOID:9119,acute myeloid leukemia,HGNC:17066,22985,ACIN1,1
Oncogene,DOID:8632,Kaposi's sarcoma,HGNC:1565,1238,ACKR2,1
Oncogene,DOID:1324,lung cancer,HGNC:23692,57007,ACKR3,2
Oncogene,DOID:1612,breast cancer,HGNC:23692,57007,ACKR3,1
Driver,DOID:10283,prostate cancer,HGNC:23692,57007,ACKR3,1
Oncogene,DOID:1612,breast cancer,HGNC:115,47,ACLY,2
Oncogene,DOID:10283,prostate cancer,HGNC:115,47,ACLY,1
Oncogene,DOID:3070,malignant glioma,HGNC:33904,730249,ACOD1,2
Oncogene,DOID:1324,lung cancer,HGNC:18156,26027,ACOT11,1
Tumor_Suppressor,DOID:2531,hematologic cancer,HGNC:24157,11332,ACOT7,1
Oncogene,DOID:3275,thymoma,HGNC:15919,10005,ACOT8,1
Oncogene,DOID:0060058,lymphoma,HGNC:119,51,ACOX1,1
Oncogene,DOID:9256,colorectal cancer,HGNC:122,52,ACP1,1
Oncogene,DOID:769,neuroblastoma,HGNC:126,49,ACR,1
Oncogene,DOID:11054,urinary bladder cancer,HGNC:17195,84519,ACRBP,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:3569,2180,ACSL1,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:3569,2180,ACSL1,1
Tumor_Suppressor,DOID:1324,lung cancer,HGNC:3569,2180,ACSL1,1
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:3569,2180,ACSL1,1
Tumor_Suppressor,DOID:2394,ovarian cancer,HGNC:3570,2181,ACSL3,1
Oncogene,DOID:1324,lung cancer,HGNC:3570,2181,ACSL3,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:3571,2182,ACSL4,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:3571,2182,ACSL4,1
Tumor_Suppressor,DOID:684,hepatocellular carcinoma,HGNC:16526,51703,ACSL5,1
Tumor_Suppressor,DOID:1240,leukemia,HGNC:16496,23305,ACSL6,3
Tumor_Suppressor,DOID:684,hepatocellular carcinoma,HGNC:10522,6296,ACSM3,1
Tumor_Suppressor,DOID:2394,ovarian cancer,HGNC:10522,6296,ACSM3,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:129,58,ACTA1,1
Oncogene,DOID:8692,myeloid leukemia,HGNC:132,60,ACTB,1
Oncogene,DOID:3459,breast carcinoma,HGNC:132,60,ACTB,1
Oncogene,DOID:1240,leukemia,HGNC:132,60,ACTB,1
Oncogene,DOID:0050745,diffuse large B-cell lymphoma,HGNC:132,60,ACTB,1
Driver,DOID:0060058,lymphoma,HGNC:132,60,ACTB,1
Oncogene,DOID:5520,head and neck squamous cell carcinoma,HGNC:24124,86,ACTL6A,4
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:24124,86,ACTL6A,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:24124,86,ACTL6A,1
Oncogene,DOID:3070,malignant glioma,HGNC:24124,86,ACTL6A,1
Oncogene,DOID:219,colon cancer,HGNC:24124,86,ACTL6A,1
Oncogene,DOID:1749,squamous cell carcinoma,HGNC:24124,86,ACTL6A,1
Tumor_Suppressor,DOID:684,hepatocellular carcinoma,HGNC:160,51412,ACTL6B,1
Oncogene,DOID:4362,cervical cancer,HGNC:166,81,ACTN4,1
Driver,DOID:3070,malignant glioma,HGNC:171,90,ACVR1,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:172,91,ACVR1B,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:18123,130399,ACVR1C,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:173,92,ACVR2A,1
Tumor_Suppressor,DOID:3119,gastrointestinal system cancer,HGNC:173,92,ACVR2A,1
Driver,DOID:9256,colorectal cancer,HGNC:173,92,ACVR2A,1
Oncogene,DOID:4905,pancreatic carcinoma,HGNC:175,94,ACVRL1,1
Tumor_Suppressor,DOID:5409,lung small cell carcinoma,HGNC:177,95,ACY1,1
Tumor_Suppressor,DOID:4450,renal cell carcinoma,HGNC:177,95,ACY1,1
Oncogene,DOID:3070,malignant glioma,HGNC:180,98,ACYP2,1
Oncogene,DOID:8552,chronic myeloid leukemia,HGNC:186,100,ADA,1
Oncogene,DOID:3070,malignant glioma,HGNC:1839,51816,ADA2,1
Oncogene,DOID:769,neuroblastoma,HGNC:188,102,ADAM10,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:189,4185,ADAM11,1
Oncogene,DOID:4362,cervical cancer,HGNC:190,8038,ADAM12,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:190,8038,ADAM12,1
Oncogene,DOID:1909,melanoma,HGNC:190,8038,ADAM12,1
Oncogene,DOID:1324,lung cancer,HGNC:190,8038,ADAM12,1
Oncogene,DOID:3070,malignant glioma,HGNC:195,6868,ADAM17,1
Oncogene,DOID:3068,glioblastoma,HGNC:195,6868,ADAM17,1
Driver,DOID:1612,breast cancer,HGNC:195,6868,ADAM17,1
Tumor_Suppressor,DOID:10283,prostate cancer,HGNC:197,8728,ADAM19,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:202,8745,ADAM23,1
Oncogene,DOID:1793,pancreatic cancer,HGNC:206,10863,ADAM28,1
Tumor_Suppressor,DOID:3457,invasive lobular carcinoma,HGNC:15478,80332,ADAM33,1
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:216,8754,ADAM9,3
Oncogene,DOID:1781,thyroid gland cancer,HGNC:216,8754,ADAM9,1
Oncogene,DOID:10534,stomach cancer,HGNC:216,8754,ADAM9,1
Oncogene,DOID:0060548,luminal breast carcinoma A,HGNC:216,8754,ADAM9,1
Tumor_Suppressor,DOID:3459,breast carcinoma,HGNC:217,9510,ADAMTS1,2
Tumor_Suppressor,DOID:10283,prostate cancer,HGNC:217,9510,ADAMTS1,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:14605,81792,ADAMTS12,1
Driver,DOID:3905,lung carcinoma,HGNC:14605,81792,ADAMTS12,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:16305,170689,ADAMTS15,1
Tumor_Suppressor,DOID:3459,breast carcinoma,HGNC:16305,170689,ADAMTS15,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:16305,170689,ADAMTS15,1
Tumor_Suppressor,DOID:9261,nasopharynx carcinoma,HGNC:17110,170692,ADAMTS18,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:17110,170692,ADAMTS18,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:17110,170692,ADAMTS18,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:17110,170692,ADAMTS18,1
Oncogene,DOID:1909,melanoma,HGNC:17178,80070,ADAMTS20,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:221,11096,ADAMTS5,1
Tumor_Suppressor,DOID:10283,prostate cancer,HGNC:221,11096,ADAMTS5,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:221,11096,ADAMTS5,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:224,11095,ADAMTS8,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:224,11095,ADAMTS8,1
Tumor_Suppressor,DOID:9261,nasopharynx carcinoma,HGNC:13202,56999,ADAMTS9,3
Tumor_Suppressor,DOID:3748,esophagus squamous cell carcinoma,HGNC:13202,56999,ADAMTS9,3
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:13202,56999,ADAMTS9,2
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:13202,56999,ADAMTS9,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:13202,56999,ADAMTS9,1
Tumor_Suppressor,DOID:1324,lung cancer,HGNC:13202,56999,ADAMTS9,1
Oncogene,DOID:9119,acute myeloid leukemia,HGNC:225,103,ADAR,1
Oncogene,DOID:3748,esophagus squamous cell carcinoma,HGNC:225,103,ADAR,1
Oncogene,DOID:3744,cervical squamous cell carcinoma,HGNC:225,103,ADAR,1
Tumor_Suppressor,DOID:1324,lung cancer,HGNC:226,104,ADARB1,2
Tumor_Suppressor,DOID:684,hepatocellular carcinoma,HGNC:226,104,ADARB1,1
Tumor_Suppressor,DOID:3748,esophagus squamous cell carcinoma,HGNC:226,104,ADARB1,1
Tumor_Suppressor,DOID:10534,stomach cancer,HGNC:226,104,ADARB1,1
Oncogene,DOID:1380,endometrial cancer,HGNC:226,104,ADARB1,1
Tumor_Suppressor,DOID:3070,malignant glioma,HGNC:227,105,ADARB2,1
Tumor_Suppressor,DOID:1793,pancreatic cancer,HGNC:21172,134637,ADAT2,1
Oncogene,DOID:219,colon cancer,HGNC:240,115,ADCY9,1
Tumor_Suppressor,DOID:0050902,medulloblastoma,HGNC:241,116,ADCYAP1,1
Oncogene,DOID:3347,osteosarcoma,HGNC:241,116,ADCYAP1,1
Oncogene,DOID:0060058,lymphoma,HGNC:244,119,ADD2,1
Oncogene,DOID:3070,malignant glioma,HGNC:21212,79747,ADGB,2
Tumor_Suppressor,DOID:0050902,medulloblastoma,HGNC:943,575,ADGRB1,2
Tumor_Suppressor,DOID:3068,glioblastoma,HGNC:943,575,ADGRB1,1
Tumor_Suppressor,DOID:1324,lung cancer,HGNC:943,575,ADGRB1,1
Driver,DOID:3068,glioblastoma,HGNC:943,575,ADGRB1,1
Oncogene,DOID:10283,prostate cancer,HGNC:18990,266977,ADGRF1,4
Oncogene,DOID:1324,lung cancer,HGNC:18990,266977,ADGRF1,3
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:18990,266977,ADGRF1,1
Oncogene,DOID:3070,malignant glioma,HGNC:18990,266977,ADGRF1,1
Oncogene,DOID:1240,leukemia,HGNC:18990,266977,ADGRF1,1
Tumor_Suppressor,DOID:1909,melanoma,HGNC:4512,9289,ADGRG1,1
Driver,DOID:9256,colorectal cancer,HGNC:4512,9289,ADGRG1,1
Tumor_Suppressor,DOID:1380,endometrial cancer,HGNC:4516,10149,ADGRG2,1
Driver,DOID:3070,malignant glioma,HGNC:18582,23266,ADGRL2,2
Tumor_Suppressor,DOID:2394,ovarian cancer,HGNC:20822,64123,ADGRL4,1
Oncogene,DOID:1612,breast cancer,HGNC:16354,137872,ADHFE1,2
Tumor_Suppressor,DOID:10283,prostate cancer,HGNC:30576,55256,ADI1,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:13633,9370,ADIPOQ,2
Tumor_Suppressor,DOID:219,colon cancer,HGNC:13633,9370,ADIPOQ,1
Oncogene,DOID:3571,liver cancer,HGNC:13633,9370,ADIPOQ,1
Oncogene,DOID:3498,pancreatic ductal adenocarcinoma,HGNC:259,133,ADM,1
Oncogene,DOID:1793,pancreatic cancer,HGNC:259,133,ADM,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:15766,23394,ADNP,1
Tumor_Suppressor,DOID:1612,breast cancer,HGNC:15766,23394,ADNP,1
Oncogene,DOID:9256,colorectal cancer,HGNC:15766,23394,ADNP,1
Oncogene,DOID:3070,malignant glioma,HGNC:23506,84890,ADO,1
Oncogene,DOID:263,kidney cancer,HGNC:262,134,ADORA1,1
Oncogene,DOID:1040,chronic lymphocytic leukemia,HGNC:262,134,ADORA1,1
Oncogene,DOID:1612,breast cancer,HGNC:264,136,ADORA2B,1
Oncogene,DOID:1793,pancreatic cancer,HGNC:25250,83440,ADPGK,1
Oncogene,DOID:2394,ovarian cancer,HGNC:15759,11047,ADRM1,2
Oncogene,DOID:9256,colorectal cancer,HGNC:291,158,ADSL,1
Oncogene,DOID:1612,breast cancer,HGNC:291,158,ADSL,1
Driver,DOID:3571,liver cancer,HGNC:291,158,ADSL,1
Oncogene,DOID:3070,malignant glioma,HGNC:303,165,AEBP1,1
Oncogene,DOID:10534,stomach cancer,HGNC:303,165,AEBP1,1
Driver,DOID:3070,malignant glioma,HGNC:303,165,AEBP1,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:26714,134265,AFAP1L1,1
Oncogene,DOID:1324,lung cancer,HGNC:26714,134265,AFAP1L1,1
Oncogene,DOID:3748,esophagus squamous cell carcinoma,HGNC:25901,84632,AFAP1L2,1
Oncogene,DOID:3498,pancreatic ductal adenocarcinoma,HGNC:25901,84632,AFAP1L2,1
Oncogene,DOID:3347,osteosarcoma,HGNC:25901,84632,AFAP1L2,1
Oncogene,DOID:3119,gastrointestinal system cancer,HGNC:25901,84632,AFAP1L2,1
Oncogene,DOID:8692,myeloid leukemia,HGNC:7137,4301,AFDN,2
Oncogene,DOID:9119,acute myeloid leukemia,HGNC:7137,4301,AFDN,1
Oncogene,DOID:9952,acute lymphoblastic leukemia,HGNC:7135,4299,AFF1,2
Oncogene,DOID:1240,leukemia,HGNC:7135,4299,AFF1,2
Oncogene,DOID:12603,acute leukemia,HGNC:7135,4299,AFF1,1
Oncogene,DOID:0080144,childhood acute lymphocytic leukemia,HGNC:7135,4299,AFF1,1
Driver,DOID:1240,leukemia,HGNC:7135,4299,AFF1,1
Driver,DOID:0080638,B-cell acute lymphoblastic leukemia,HGNC:7135,4299,AFF1,1
Oncogene,DOID:3948,adrenocortical carcinoma,HGNC:6473,3899,AFF3,1
Oncogene,DOID:1612,breast cancer,HGNC:6473,3899,AFF3,1
Oncogene,DOID:3571,liver cancer,HGNC:317,174,AFP,2
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:317,174,AFP,1
Driver,DOID:686,liver carcinoma,HGNC:317,174,AFP,1
Driver,DOID:1790,malignant mesothelioma,HGNC:317,174,AFP,1
Oncogene,DOID:3068,glioblastoma,HGNC:16921,116986,AGAP2,3
Oncogene,DOID:3571,liver cancer,HGNC:16921,116986,AGAP2,1
Oncogene,DOID:10283,prostate cancer,HGNC:16921,116986,AGAP2,1
Oncogene,DOID:3744,cervical squamous cell carcinoma,HGNC:320,177,AGER,1
Oncogene,DOID:1793,pancreatic cancer,HGNC:320,177,AGER,1
Oncogene,DOID:3070,malignant glioma,HGNC:21869,55750,AGK,1
Oncogene,DOID:1612,breast cancer,HGNC:21869,55750,AGK,1
Oncogene,DOID:10534,stomach cancer,HGNC:21869,55750,AGK,1
Tumor_Suppressor,DOID:11054,urinary bladder cancer,HGNC:321,178,AGL,3
Driver,DOID:11054,urinary bladder cancer,HGNC:321,178,AGL,3
Oncogene,DOID:219,colon cancer,HGNC:3262,26523,AGO1,1
Tumor_Suppressor,DOID:9256,colorectal cancer,HGNC:3263,27161,AGO2,1
Tumor_Suppressor,DOID:3908,lung non-small cell carcinoma,HGNC:3263,27161,AGO2,1
Tumor_Suppressor,DOID:3070,malignant glioma,HGNC:3263,27161,AGO2,1
Oncogene,DOID:8692,myeloid leukemia,HGNC:3263,27161,AGO2,1
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:3263,27161,AGO2,1
Oncogene,DOID:4450,renal cell carcinoma,HGNC:3263,27161,AGO2,1
Driver,DOID:1793,pancreatic cancer,HGNC:3263,27161,AGO2,1
Oncogene,DOID:3070,malignant glioma,HGNC:327,8540,AGPS,1
Oncogene,DOID:3908,lung non-small cell carcinoma,HGNC:328,10551,AGR2,2
Oncogene,DOID:1612,breast cancer,HGNC:328,10551,AGR2,2
Tumor_Suppressor,DOID:0070323,childhood acute myeloid leukemia,HGNC:328,10551,AGR2,1
Oncogene,DOID:5520,head and neck squamous cell carcinoma,HGNC:328,10551,AGR2,1
Oncogene,DOID:4914,esophagus adenocarcinoma,HGNC:328,10551,AGR2,1
Oncogene,DOID:4362,cervical cancer,HGNC:328,10551,AGR2,1
Oncogene,DOID:3905,lung carcinoma,HGNC:328,10551,AGR2,1
Oncogene,DOID:1793,pancreatic cancer,HGNC:328,10551,AGR2,1
Oncogene,DOID:10283,prostate cancer,HGNC:328,10551,AGR2,1
Oncogene,DOID:686,liver carcinoma,HGNC:329,375790,AGRN,1
Oncogene,DOID:684,hepatocellular carcinoma,HGNC:329,375790,AGRN,1
Oncogene,DOID:2394,ovarian cancer,HGNC:329,375790,AGRN,1
Oncogene,DOID:1993,rectum cancer,HGNC:329,375790,AGRN,1
Oncogene,DOID:0050866,oral squamous cell carcinoma,HGNC:329,375790,AGRN,1
Oncogene,DOID:3347,osteosarcoma,HGNC:333,183,AGT,1
Oncogene,DOID:3275,thymoma,HGNC:333,183,AGT,1
Tumor_Suppressor,DOID:5520,head and neck squamous cell carcinoma,HGNC:336,185,AGTR1,1
Oncogene,DOID:1612,breast cancer,HGNC:336,185,AGTR1,1
Driver,DOID:1612,breast cancer,HGNC:336,185,AGTR1,1
